dataset,oxic-H,oxic-T,anoxic-H,anoxic-T,anoxic-NDL
K1,0.0014372221641547253,0.002880650393006584,0.001748522188056087,0.0008794367342032926,1.841912781547458e-07
K2,0.00381687137233807,0.0028423960633479684,0.02966810861489642,0.326490421770844,8.909322722734192e-05
K5,0.012464375795074194,0.008563928150283623,,,
K3,7.226530916660729e-05,0.0,,,
K4,0.0,0.0,,,
K6,,,0.13160440090529069,0.10969933963104314,0.2567167783199399
K7,,,0.36228303614361196,0.10655509142667167,0.5454318987602673
KL_NO3,,,7.692705701622131e-07,4.4512275538113805e-08,5.887586331098677e-07
K8,1.0,0.9866545087212855,0.5412959611590362,0.7071538896314565,3.6913021372673064e-06
KL_DOC,0.012186766162386157,0.0013946480351440926,0.3469222866987218,0.11938231519753702,2.1503001752396775e-07
K9,0.0007464725139664527,9.439281247288774e-05,0.020460478550435878,0.012500684171115701,1.2962838387017513e-06
K10,0.00012118471059816565,4.164937787242644e-05,0.7081440324745087,0.48740280422460935,3.467557980912277e-06
K11,0.0011841474507764344,0.0007489643703779543,0.08735963482086953,0.010971193784455435,0.007174413934848631
K12,0.0022072209777965097,0.0011381448265779075,0.1470063944100703,0.03523244843051461,0.0004947600103766866
K13,1.4165802564486114e-06,9.448675245401213e-08,0.1203905581083483,0.007263088571750132,0.028999517786662286
K14,0.0008941237310625337,0.000314666450291363,0.04607573395541813,0.010419375350861416,0.01159403819267672
Kl_NO3,0.0002641145824303947,5.003358145365152e-07,0.023571597909794913,0.0067050057170648415,0.001550001552635595
K15,8.366487800713089e-11,6.618148296516277e-11,0.09222933764683747,0.05953725715383109,0.13682166769913598
K16,1.930386800151312e-08,1.64193365057842e-08,0.23974806078930042,0.12354433808523356,0.42566697233347456
